"Hostname","Datastore","PowerState","OS","Status","IPAddress","ADStatus","DNSStatus","IvantiStatus","SCOMStatus","DecommissionStatus","ActionsNeeded","Notes","ProcessingErrors","Mode","ShutdownDate","DaysSinceShutdown","CanDeleteVMDisk","FQDN","VMNotes"
"UKPRAP304","DB4_Vol212","PoweredOn","Unable to retrieve OS","Running","","Error during AD step","","","Cannot check - not in AD","","Server not found in AD","","","TEST","N/A - VM Running","N/A","No - VM Still Running","","Octopus script/DB runner - CHG0058951 - replacement for UKPRAP080"
"UKPRAP215","LD9_Vol222","PoweredOff","Unable to retrieve OS","Shutdown","","Error during AD step","","","Cannot check - not in AD","","Server not found in AD","","","TEST","2025-10-24 15:44:22","10.8","No","","RBv21 App prod OM"
"UKDVAP128","DB4_Vol210","PoweredOn","Unable to retrieve OS","Running","","Error during AD step","","","Cannot check - not in AD","","Server not found in AD","","","TEST","N/A - VM Running","N/A","No - VM Still Running","","Oasis LMF"
"UKPRDB095","LD9_Vol212","PoweredOff","Unable to retrieve OS","Shutdown","","Error during AD step","","","Cannot check - not in AD","","Server not found in AD","","","TEST","2025-10-24 15:47:23","10.8","No","","RBv21 Open Market Prod	No change ticket"
"UKDVAP081 - Claim Center SQL/WEB","DB4_Vol228","PoweredOn","Unable to retrieve OS","Shutdown","","Error during AD step","","","Cannot check - not in AD","","Server not found in AD","","","TEST","N/A - VM Running","N/A","No - VM Still Running","","Claim Center SQL/WEB - Paul Forbes - CHG0034435"
"UKPRAP216","LD9_Vol222","PoweredOff","Unable to retrieve OS","Shutdown","","Error during AD step","","","Cannot check - not in AD","","Server not found in AD","","","TEST","2025-10-24 15:43:06","10.8","No","","RBv21 App prod OM"
